datetime,predicted load,actual load
2018-08-03 17:45:00,462.4167175292969,483.084
2018-08-03 18:00:00,461.9241943359375,484.824
2018-08-03 18:15:00,456.52032470703125,488.08
2018-08-03 18:30:00,462.66583251953125,501.892
2018-08-03 18:45:00,479.08709716796875,516.556
2018-08-03 19:00:00,493.8864440917969,530.5840000000002
2018-08-03 19:15:00,508.50079345703125,547.78
2018-08-03 19:30:00,520.38134765625,559.664
2018-08-03 19:45:00,522.2869262695312,565.524
2018-08-03 20:00:00,521.7084350585938,563.004
2018-08-03 20:15:00,518.51171875,559.28
2018-08-03 20:30:00,514.2374267578125,554.02
2018-08-03 20:45:00,507.8288879394531,573.732
2018-08-03 21:00:00,496.5711975097656,543.58
2018-08-03 21:15:00,496.13690185546875,534.68
2018-08-03 21:30:00,488.9847106933594,526.092
2018-08-03 21:45:00,476.952392578125,523.2040000000002
2018-08-03 22:00:00,471.6588134765625,519.2959999999998
2018-08-03 22:15:00,471.10333251953125,508.952
2018-08-03 22:30:00,466.2973327636719,506.712
2018-08-03 22:45:00,464.12969970703125,501.244
2018-08-03 23:00:00,456.8359375,494.736
2018-08-03 23:15:00,447.4279479980469,490.044
2018-08-03 23:30:00,441.11859130859375,467.544
2018-08-03 23:45:00,434.05938720703125,460.944
2018-08-04 00:00:00,431.3507385253906,455.924
2018-08-04 00:15:00,416.0001220703125,451.384
2018-08-04 00:30:00,411.9830322265625,439.952
2018-08-04 00:45:00,407.84130859375,440.628
2018-08-04 01:00:00,405.7444763183594,440.284
2018-08-04 01:15:00,401.16790771484375,431.792
2018-08-04 01:30:00,399.021728515625,428.124
2018-08-04 01:45:00,396.441650390625,428.156
2018-08-04 02:00:00,397.34613037109375,422.24
2018-08-04 02:15:00,397.5087890625,418.672
2018-08-04 02:30:00,396.3524475097656,412.7
2018-08-04 02:45:00,396.0212707519531,411.964
2018-08-04 03:00:00,394.9082336425781,415.128
2018-08-04 03:15:00,391.8025817871094,415.38
2018-08-04 03:30:00,390.9201354980469,415.292
2018-08-04 03:45:00,390.7364196777344,413.084
2018-08-04 04:00:00,389.6704406738281,413.584
2018-08-04 04:15:00,386.8483581542969,411.812
2018-08-04 04:30:00,386.32464599609375,409.036
2018-08-04 04:45:00,386.9354248046875,403.644
2018-08-04 05:00:00,390.6480407714844,404.208
2018-08-04 05:15:00,393.724853515625,410.736
2018-08-04 05:30:00,395.7650451660156,411.656
2018-08-04 05:45:00,399.2303771972656,416.86
2018-08-04 06:00:00,411.92657470703125,429.064
2018-08-04 06:15:00,420.4311828613281,434.332
2018-08-04 06:30:00,431.3670654296875,440.096
2018-08-04 06:45:00,432.2914123535156,443.196
2018-08-04 07:00:00,437.56640625,432.108
2018-08-04 07:15:00,441.6184997558594,416.216
2018-08-04 07:30:00,438.24163818359375,431.9
2018-08-04 07:45:00,434.7969055175781,437.044
2018-08-04 08:00:00,432.9913635253906,442.96
2018-08-04 08:15:00,435.23065185546875,421.072
2018-08-04 08:30:00,442.4438781738281,445.572
2018-08-04 08:45:00,445.39764404296875,451.164
2018-08-04 09:00:00,449.4889831542969,455.864
2018-08-04 09:15:00,451.583251953125,461.028
2018-08-04 09:30:00,460.1947021484375,471.828
2018-08-04 09:45:00,464.4122619628906,479.12
2018-08-04 10:00:00,465.3375549316406,479.944
2018-08-04 10:15:00,470.6609191894531,485.372
2018-08-04 10:30:00,467.3970947265625,485.228
2018-08-04 10:45:00,467.82568359375,488.472
2018-08-04 11:00:00,468.6850280761719,497.64
2018-08-04 11:15:00,468.36968994140625,496.212
2018-08-04 11:30:00,469.97283935546875,497.52
2018-08-04 11:45:00,472.6567077636719,492.204
2018-08-04 12:00:00,466.00238037109375,489.616
2018-08-04 12:15:00,465.4963684082031,489.492
